severity,type,url,detail
"P1","thin_page","https://docs.oviond.com/api/folders/list-folders","36 words"
"P1","thin_page","https://docs.oviond.com/api/folders/update-folder","32 words"
"P1","thin_page","https://docs.oviond.com/api/health/health-check","28 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/health/health-check","Supabase"
"P1","thin_page","https://docs.oviond.com/api/integrations/delete-integration","33 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/integrations/delete-integration","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/integrations/delete-profile","32 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/integrations/delete-profile","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/integrations/link-datasource","34 words"
"P1","thin_page","https://docs.oviond.com/api/integrations/list-all-profiles","36 words"
"P1","thin_page","https://docs.oviond.com/api/integrations/list-integration-profiles","36 words"
"P1","thin_page","https://docs.oviond.com/api/integrations/list-integrations","37 words"
"P1","thin_page","https://docs.oviond.com/api/integrations/rename-integration","33 words"
"P1","thin_page","https://docs.oviond.com/api/integrations/rename-profile","32 words"
"P1","thin_page","https://docs.oviond.com/api/integrations/test-auth-connection","37 words"
"P1","thin_page","https://docs.oviond.com/api/integrations/unlink-datasource","34 words"
"P1","thin_page","https://docs.oviond.com/api/integrations/update-client-integrations","39 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/integrations/update-client-integrations","client_integrations"
"P1","thin_page","https://docs.oviond.com/api/media/bulk-delete-media","34 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/media/bulk-delete-media","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/media/create-media-folder","34 words"
"P1","thin_page","https://docs.oviond.com/api/media/delete-media","43 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/media/delete-media","S3"
"P1","destructive_missing_warning","https://docs.oviond.com/api/media/delete-media","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/media/delete-media-folder","41 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/media/delete-media-folder","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/media/group-media","35 words"
"P1","thin_page","https://docs.oviond.com/api/media/list-media","36 words"
"P1","thin_page","https://docs.oviond.com/api/media/list-media-folders","36 words"
"P1","thin_page","https://docs.oviond.com/api/media/rename-media-folder","33 words"
"P1","thin_page","https://docs.oviond.com/api/media/update-media","34 words"
"P0","fetch_failed","https://docs.oviond.com/api/openapi.json","markdown endpoint returned 404"
"P1","missing_h1","https://docs.oviond.com/api/openapi.json","No markdown H1 found"
"P1","thin_page","https://docs.oviond.com/api/openapi.json","0 words"
"P1","api_page_lacks_examples","https://docs.oviond.com/api/openapi.json","API page is short and has no fenced example"
"P1","thin_page","https://docs.oviond.com/api/pages/create-page","36 words"
"P1","thin_page","https://docs.oviond.com/api/pages/delete-page","31 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/pages/delete-page","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/pages/list-pages","35 words"
"P1","thin_page","https://docs.oviond.com/api/pages/update-page","31 words"
"P1","thin_page","https://docs.oviond.com/api/pdf/generate-pdf","36 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/pdf/generate-pdf","S3"
"P1","thin_page","https://docs.oviond.com/api/pdf/get-pdf-status","37 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/pdf/get-pdf-status","S3"
"P1","thin_page","https://docs.oviond.com/api/projects/bulk-delete-projects","34 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/projects/bulk-delete-projects","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/projects/create-project","32 words"
"P1","thin_page","https://docs.oviond.com/api/projects/delete-pdf-notification","37 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/projects/delete-pdf-notification","Destructive/risky page has no Mintlify Warning component"
